Cd_Exercicio,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Disponivel,Vl_Congelado,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
2021,7,FMD,INVESTIMENTOS,44903900,1000000,0,1000000,0,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,10000000,8500000,1500000,0,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000000,0,0,1000000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,2000000,0,0,2000000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000000,0,0,1000000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,5000000,0,5000000,0,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,18425029,0,18425029,0,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44903900,1000,0,0,1000,0,0,0
2021,7,FMD,INVESTIMENTOS,44905100,1000,0,0,1000,0,0,0
